Entity,Code,Year,Solar generation - TWh,Wind generation - TWh,Hydro generation - TWh,Other renewables (including geothermal and biomass) electricity generation - TWh
Africa,,1965,,0,13.905635,
Africa,,1966,,0,15.510005,
Africa,,1967,,0,16.190636,
Africa,,1968,,0,18.938341,
Africa,,1969,,0,22.100891,
Africa,,1970,,0,27.630428,
Africa,,1971,0,0,26.01339,0.164
Africa,,1972,0,0,29.633196,0.165
Africa,,1973,0,0,31.345707,0.17
Africa,,1974,0,0,35.667076,0.175
Africa,,1975,0,0,37.717968,0.172
Africa,,1976,0,0,41.797634,0.185
Africa,,1977,0,0,45.92877,0.189
Africa,,1978,0,0,46.306942,0.195
Africa,,1979,0,0,49.56523,0.201
Africa,,1980,0,0,48.311787,0.207
Africa,,1981,0,0,50.192905,0.218
Africa,,1982,0,0,50.206238,0.236
Africa,,1983,0,0,45.24716,0.23
Africa,,1984,0,0,44.489975,0.234
Africa,,1985,0,0,49.449684,0.269
Africa,,1986,0,0,51.14537,0.659
Africa,,1987,0,0,49.05646,0.658
Africa,,1988,0,0,53.593452,0.626
Africa,,1989,0,0,56.27621,0.617
Africa,,1990,0,0,57.254658,0.80574995
Africa,,1991,0,0,60.65149,0.8217477
Africa,,1992,0,0,57.86029,0.85394657
Africa,,1993,0,0.002,56.682507,0.94937193
Africa,,1994,0,0.0054,57.59605,0.84669536
Africa,,1995,0,0.0063,59.75028,1.028464
Africa,,1996,0,0.0071,62.29786,1.2678368
Africa,,1997,0,0.0072,63.831898,1.3963903
Africa,,1998,0,0.0076,66.654884,1.724236
Africa,,1999,0,0.0198,70.68426,1.7097834
Africa,,2000,0.012091,0.1755,75.261475,2.2749128
Africa,,2001,0.015221,0.41558,80.87416,2.3482146
Africa,,2002,0.016714714,0.44358402,85.03247,2.3121176
Africa,,2003,0.019765295,0.535599,82.58097,2.6455588
Africa,,2004,0.023881879,0.7682815,87.22529,3.0130265
Africa,,2005,0.028277464,0.7803882,88.84289,3.0694032
Africa,,2006,0.03631621,0.852607,92.05518,3.8381698
Africa,,2007,0.046026807,1.0163264,95.20521,3.1995003
Africa,,2008,0.06478197,1.3119146,96.973595,3.3222678
Africa,,2009,0.08613463,1.5895555,99.566505,3.650495
Africa,,2010,0.20400244,2.2847242,107.685455,3.8558366
Africa,,2011,0.5903406,2.3878222,110.73607,3.9861515
Africa,,2012,0.9536754,2.517554,110.89032,4.306353
Africa,,2013,0.74169177,3.5956278,117.21857,4.625227
Africa,,2014,1.856844,5.0622597,123.89524,5.6359253
Africa,,2015,3.5471861,8.912872,120.74274,7.2260575
Africa,,2016,5.2606897,11.178585,119.06743,7.319344
Africa,,2017,6.898775,13.614108,125.24527,7.5303874
Africa,,2018,8.324818,14.764542,134.10472,8.214826
Africa,,2019,11.015306,19.283367,138.48442,8.299071
Africa,,2020,15.122826,19.111538,147.66562,7.9900856
Africa,,2021,17.333729,22.959595,152.48972,7.999498
Africa,,2022,17.781006,24.339096,156.2567,8.432115
Africa,,2023,19.197226,27.82143,161.64522,9.703743
Africa (EI),,1965,,0,13.905635,
Africa (EI),,1966,,0,15.510004,
Africa (EI),,1967,,0,16.190636,
Africa (EI),,1968,,0,18.938341,
Africa (EI),,1969,,0,22.10089,
Africa (EI),,1970,,0,27.63043,
Africa (EI),,1971,0,0,26.013391,0.164
Africa (EI),,1972,0,0,29.633196,0.165
Africa (EI),,1973,0,0,31.345707,0.17
Africa (EI),,1974,0,0,35.667076,0.175
Africa (EI),,1975,0,0,37.71797,0.172
Africa (EI),,1976,0,0,41.797634,0.185
Africa (EI),,1977,0,0,45.92877,0.189
Africa (EI),,1978,0,0,46.30694,0.195
Africa (EI),,1979,0,0,49.56523,0.201
Africa (EI),,1980,0,0,48.311783,0.207
Africa (EI),,1981,0,0,50.192905,0.218
Africa (EI),,1982,0,0,50.206238,0.236
Africa (EI),,1983,0,0,45.24716,0.23
Africa (EI),,1984,0,0,44.489975,0.234
Africa (EI),,1985,0,0,49.449684,0.269
Africa (EI),,1986,0,0,51.145374,0.659
Africa (EI),,1987,0,0,49.05646,0.658
Africa (EI),,1988,0,0,53.593456,0.626
Africa (EI),,1989,0,0,56.276215,0.617
Africa (EI),,1990,0,0,57.254658,0.80574995
Africa (EI),,1991,0,0,60.65149,0.8217477
Africa (EI),,1992,0,0,57.86029,0.85394657
Africa (EI),,1993,0,0.002,56.682507,0.94937193
Africa (EI),,1994,0,0.0054,57.59605,0.84669536
Africa (EI),,1995,0,0.0063,59.75028,1.028464
Africa (EI),,1996,0,0.0071,62.29786,1.2678369
Africa (EI),,1997,0,0.0072,63.831898,1.3963903
Africa (EI),,1998,0,0.0076,66.654884,1.724236
Africa (EI),,1999,0,0.0198,70.68426,1.7097833
Africa (EI),,2000,0.012091,0.1755,75.261475,2.2749128
Africa (EI),,2001,0.015221,0.41558,80.87417,2.3482146
Africa (EI),,2002,0.016714713,0.443584,85.03247,2.3121176
Africa (EI),,2003,0.019765295,0.535599,82.58096,2.6455586
Africa (EI),,2004,0.02388188,0.7682815,87.225296,3.0130265
Africa (EI),,2005,0.028277464,0.7803882,88.84289,3.0694032
Africa (EI),,2006,0.03631621,0.852607,92.055176,3.8381698
Africa (EI),,2007,0.046026807,1.0163264,95.20521,3.1995003
Africa (EI),,2008,0.06478197,1.3119144,96.973595,3.3222678
Africa (EI),,2009,0.08613463,1.5895555,99.5665,3.6504948
Africa (EI),,2010,0.20400244,2.2847242,107.685455,3.8558366
Africa (EI),,2011,0.5903406,2.3878222,110.73607,3.9861517
Africa (EI),,2012,0.9536753,2.517554,110.89032,4.306353
Africa (EI),,2013,0.74169177,3.5956278,117.21857,4.625227
Africa (EI),,2014,1.856844,5.062259,123.89524,5.6359253
Africa (EI),,2015,3.5471861,8.912872,120.74273,7.2260575
Africa (EI),,2016,5.2606897,11.178585,119.06743,7.319344
Africa (EI),,2017,6.898775,13.614108,125.24527,7.5303874
Africa (EI),,2018,8.324819,14.764542,134.10474,8.214826
Africa (EI),,2019,11.015306,19.283367,138.48442,8.299071
Africa (EI),,2020,15.122826,19.111538,147.66562,7.9900856
Africa (EI),,2021,17.333729,22.959595,152.48972,7.9994984
Africa (EI),,2022,17.781008,24.339098,156.2567,8.432114
